"Container","ProductName","TotalValueSold","TotalQuantitySold","TotalKgSold","AveragePrice","HighestPrice","Date"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",4150,83,1245,50,50,"2014-12-24"
"10KG JUMBLE CARTON","VALENCIA,CL 2,M,*,*",40,1,10,40,40,"2014-12-24"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,88,*",660,11,165,60,60,"2014-12-24"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,105,*",4240,70,1050,60.57,80,"2014-12-24"
"6KG POCKET","VALENCIA,CL 2,M,*,*",36427,1412,8472,25.8,26,"2014-12-24"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,48,*",9800,140,2100,70,70,"2014-12-24"
"2KG POCKET","VALENCIA,CL 1,M,*,*",5200,520,1040,10,10,"2014-12-24"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,56,*",1090,14,210,77.86,80,"2014-12-24"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",5900,75,1125,78.67,80,"2014-12-24"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,88,*",400,5,75,80,80,"2014-12-24"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",13600,160,2400,85,85,"2014-12-24"
"10KG JUMBLE CARTON","VALENCIA,CL 2,S,*,*",5280,88,880,60,60,"2014-12-24"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",13140,146,2190,90,90,"2014-12-24"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",7000,77,1155,90.91,100,"2014-12-24"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",7300,73,1095,100,100,"2014-12-24"
"6KG POCKET","NAVEL,CL 2,M,*,*",2455,136,816,18.05,20,"2014-12-30"
"6KG POCKET","VALENCIA,CL 2,M,*,*",4472,178,1068,25.12,26,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",29830,392,5880,76.1,90,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,88,*",129600,1680,25200,77.14,90,"2014-12-30"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,105,*",6200,75,1125,82.67,100,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,125,*",580,7,105,82.86,100,"2014-12-30"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,88,*",6050,70,1050,86.43,90,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,56,*",530,6,90,88.33,90,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",42320,478,7170,88.54,90,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,48,*",45300,510,7650,88.82,90,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",12600,140,2100,90,90,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",50400,560,8400,90,90,"2014-12-30"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,65,*",800,8,120,100,100,"2014-12-30"
"10KG JUMBLE CARTON","VALENCIA,CL 2,M,*,*",140,2,20,70,70,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",110,1,15,110,110,"2014-12-30"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,40,*",920,8,120,115,140,"2014-12-30"
"1.5KG POCKET","NAVEL,CL 1,L,*,*",1960,28,42,70,70,"2014-12-30"
"6KG POCKET","NAVEL,CL 2,M,*,*",520,38,228,13.68,15,"2015-01-05"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",7240,101,1515,71.68,90,"2015-01-05"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",2894,39,585,74.21,90,"2015-01-05"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",6400,80,1200,80,80,"2015-01-05"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",25600,320,4800,80,80,"2015-01-05"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,88,*",18400,230,3450,80,80,"2015-01-05"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,88,*",2700,30,450,90,90,"2015-01-05"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,65,*",11100,120,1800,92.5,100,"2015-01-05"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",18000,190,2850,94.74,120,"2015-01-05"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",770,7,105,110,110,"2015-01-05"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,65,*",1400,58,870,24.14,100,"2015-01-07"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,88,*",67770,791,11865,85.68,90,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,40,*",14400,160,2400,90,0,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",14400,160,2400,90,90,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",7200,80,1200,90,90,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",22280,247,3705,90.2,140,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",670,6,90,111.67,120,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",17850,410,6150,43.54,130,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,105,*",4850,97,1455,50,50,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,40,*",14400,160,2400,90,90,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,48,*",7200,80,1200,90,90,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,56,*",2660,38,570,70,70,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,64,*",14400,160,2400,90,90,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,72,*",115620,1301,19515,88.87,90,"2015-01-07"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,88,*",24570,410,6150,59.93,80,"2015-01-07"
"15KG CARTON OPEN TOP","VALENCIA,CL 1,*,65,*",12200,122,1830,100,100,"2015-01-08"
"15KG CARTON TELESCOPIC","MIDKNIGHT,CL 1,*,88,*",22800,253,3795,90.12,100,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,105,*",7200,80,1200,90,90,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,125,*",6000,80,1200,75,75,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,48,*",2200,20,300,110,110,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,56,*",12300,104,1560,118.27,120,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,64,*",19300,168,2520,114.88,130,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,72,*",12800,160,2400,80,80,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 1,*,88,*",32440,324,4860,100.12,110,"2015-01-08"
"15KG CARTON TELESCOPIC","VALENCIA,CL 2,*,125,*",100,2,30,50,50,"2015-01-08"
