Container,ProductName,TotalValueSold,TotalQuantitySold,TotalKgSold,AveragePrice,HighestPrice,Date
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",780,9,135,86.67,95,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",4840,53,795,91.32,95,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,56,*",555,6,90,92.5,95,2014-11-24
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,72,*",4465,47,705,95,95,2014-11-24
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,64,*",2850,30,450,95,95,2014-11-24
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,48,*",500,5,75,100,100,2014-11-24
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,64,*",6600,66,990,100,100,2014-11-24
6KG POCKET,"VALENCIA,CL 2,L,*,*",8860,501,3006,17.68,20,2014-11-25
6KG POCKET,"VALENCIA,CL 2,XL,*,*",9194,460,2760,19.99,20,2014-11-25
6KG POCKET,"VALENCIA,CL 2,M,*,*",19066,948,5688,20.11,26,2014-11-25
6KG POCKET,"NAVEL,CL 2,L,*,*",19825,919,5514,21.57,24,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,105,*",26000,400,6000,65,65,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,125,*",6020,86,1290,70,70,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,125,*",5600,80,1200,70,70,2014-11-25
6KG POCKET,"MIDKNIGHT,CL 2,L,*,*",308,11,66,28,28,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,105,*",23020,328,4920,70.18,80,2014-11-25
15KG CARTON OPEN TOP,"VALENCIA,CL 1,*,65,*",6340,82,1230,77.32,95,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,48,*",320,4,60,80,80,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,88,*",45360,567,8505,80,80,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,72,*",16460,205,3075,80.29,90,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,88,*",63625,784,11760,81.15,85,2014-11-25
15KG CARTON TELESCOPIC,"MIDKNIGHT,CL 1,*,88,*",2475,29,435,85.34,95,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,64,*",27220,310,4650,87.81,95,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 1,*,56,*",1530,17,255,90,90,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,64,*",49865,541,8115,92.17,95,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,72,*",1395,15,225,93,95,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,56,*",62320,660,9900,94.42,95,2014-11-25
15KG CARTON TELESCOPIC,"VALENCIA,CL 2,*,48,*",7600,80,1200,95,95,2014-11-25
