"UnitMass","ProductName","tvaluesold","tquantitysold","tkgsold","avgprice","highestprice","date"
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,*,120,*",34340,"190.00","3515.00",180.74,190,2014-11-26
"18.50KG CARTON","CRIPPS PINK,CL 1,*,135,*",58800,"245.00","4532.50",240,240,2014-11-26
"18.50KG CARTON","CRIPPS PINK,CL 1,*,80,*",3180,"27.00","499.50",117.78,180,2014-11-26
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,*,135,*",46200,"270.00","4995.00",171.11,180,2014-11-26
"18.50KG CARTON","TOPRED,CL 1,*,80,*",6620,"29.00","536.50",228.28,240,2014-11-26
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,*,70,*",210,"3.00","55.50",70,70,2014-11-26
"18.50KG CARTON","STARKING,CL 1,*,80,*",660,"3.00","55.50",220,240,2014-11-26
"18.50KG CARTON","TOPRED,CL 1,*,60,*",660,"3.00","55.50",220,220,2014-11-26
"18.50KG CARTON","STARKING,CL 1,*,135,*",63065,"369.00","6826.50",170.91,190,2014-11-26
"18.50KG CARTON","FUJI,CL 1,*,120,*",400,"4.00","74.00",100,100,2014-11-26
"18.50KG CARTON","TOPRED,CL 1,*,135,*",720,"4.00","74.00",180,180,2014-11-26
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,*,90,*",9030,"42.00","777.00",215,220,2014-11-26
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,*,100,*",8270,"44.00","814.00",187.95,230,2014-11-26
"18.50KG CARTON","CRIPPS PINK,CL 1,*,120,*",109665,"450.00","8325.00",243.7,245,2014-11-26
"18.50KG CARTON","CRIPPS PINK,CL 1,*,110,*",12365,"51.00","943.50",242.45,245,2014-11-26
"18.50KG CARTON","FUJI,CL 1,*,80,*",11970,"57.00","1054.50",210,245,2014-11-26
"18.50KG CARTON","GRANNY SMITH,CL 1,*,70,*",1200,"6.00","111.00",200,200,2014-11-26
"18.50KG CARTON","TOPRED,CL 1,*,70,*",1340,"6.00","111.00",223.33,240,2014-11-26
"18.50KG CARTON","GRANNY SMITH,CL 1,*,110,*",12300,"63.00","1165.50",195.24,210,2014-11-26
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,*,110,*",12990,"65.00","1202.50",199.85,210,2014-11-26
"18.50KG CARTON","GOLDEN DELICIOUS,CL 1,*,80,*",12600,"76.00","1406.00",165.79,200,2014-11-26
"18.50KG CARTON","STARKING,CL 1,*,110,*",640,"8.00","148.00",80,80,2014-11-26
"18.50KG CARTON","TOPRED,CL 1,*,90,*",19350,"90.00","1665.00",215,260,2014-11-26
"18.50KG CARTON","STARKING,CL 1,*,120,*",15550,"95.00","1757.50",163.68,210,2014-11-26
"18.50KG CARTON","CRIPPS PINK,CL 1,*,120,*",70,"1.00","18.50",70,70,2014-12-01
