UnitMass,ProductName,tvaluesold,tquantitysold,tkgsold,avgprice,highestprice,date
18.50KG CARTON,"FUJI,CL 1,70",480,2,37,240,240,14/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,90",420,2,37,210,220,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,90",4900,23,425.5,213.04,250,14/11/14
18.50KG CARTON,"TOPRED,CL 1,110",4530,23,425.5,196.96,230,14/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,135",4740,25,462.5,189.6,190,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,135",45550,268,4958,169.96,180,14/11/14
18.50KG CARTON,"TOPRED,CL 1,135",5320,29,536.5,183.45,200,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,120",53750,298,5513,180.37,200,14/11/14
18.50KG CARTON,"TOPRED,CL 1,198",460,3,55.5,153.33,160,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,100",5260,30,555,175.33,240,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,150",5550,37,684.5,150,150,14/11/14
18.50KG CARTON,"TOPRED,CL 1,80",8750,37,684.5,236.49,250,14/11/14
18.50KG CARTON,"FUJI,CL 1,80",940,4,74,235,240,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,110",7590,41,758.5,185.12,220,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,80",7530,41,758.5,183.66,240,14/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,100",9220,46,851,200.43,210,14/11/14
18.50KG CARTON,"FUJI,CL 1,135",380,5,92.5,76,100,14/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,120",900,5,92.5,180,180,14/11/14
18.50KG CARTON,"TOPRED,CL 1,60",1100,5,92.5,220,220,14/11/14
18.50KG CARTON,"STARKING,CL 1,120",9070,50,925,181.4,250,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,165",7650,51,943.5,150,150,14/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,120",10080,56,1036,180,180,14/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,70",1180,6,111,196.67,200,14/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,110",12150,61,1128.5,199.18,200,14/11/14
18.50KG CARTON,"FUJI,CL 1,90",14800,64,1184,231.25,240,14/11/14
18.50KG CARTON,"TOPRED,CL 1,120",12190,64,1184,190.47,200,14/11/14
18.50KG CARTON,"TOPRED,CL 1,70",5540,64,1184,86.56,240,14/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,70",1320,7,129.5,188.57,220,14/11/14
18.50KG CARTON,"STARKING,CL 1,70",9350,73,1350.5,128.08,250,14/11/14
18.50KG CARTON,"STARKING,CL 1,110",16310,80,1480,203.88,210,14/11/14
18.50KG CARTON,"FUJI,CL 1,100",180,1,18.5,180,180,17/11/14
18.50KG CARTON,"FUJI,CL 1,80",240,1,18.5,240,240,17/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,165",440,11,203.5,40,40,17/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,70",2320,11,203.5,210.91,220,17/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,135",20160,112,2072,180,180,17/11/14
18.50KG CARTON,"STARKING,CL 1,120",20720,112,2072,185,190,17/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,165",480,12,222,40,40,17/11/14
18.50KG CARTON,"FUJI,CL 1,120",2520,14,259,180,180,17/11/14
18.50KG CARTON,"TOPRED,CL 1,100",33200,168,3108,197.62,240,17/11/14
18.50KG CARTON,"STARKING,CL 1,70",3460,17,314.5,203.53,220,17/11/14
18.50KG CARTON,"TOPRED,CL 1,80",4080,17,314.5,240,240,17/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,80",3960,18,333,220,220,17/11/14
18.50KG CARTON,"STARKING,CL 1,90",3490,18,333,193.89,220,17/11/14
18.50KG CARTON,"TOPRED,CL 1,135",32960,180,3330,183.11,210,17/11/14
18.50KG CARTON,"TOPRED,CL 1,90",37380,191,3533.5,195.71,240,17/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,135",420,2,37,210,210,17/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,110",420,2,37,210,210,17/11/14
18.50KG CARTON,"GALA,CL 1,150",880,22,407,40,40,17/11/14
18.50KG CARTON,"TOPRED,CL 1,120",45740,227,4199.5,201.5,220,17/11/14
18.50KG CARTON,"CRIPPS RED,CL 1,70",5280,24,444,220,220,17/11/14
18.50KG CARTON,"CRIPPS PINK,CL 1,110",57330,273,5050.5,210,220,17/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,135",54330,308,5698,176.4,180,17/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,80",7460,33,610.5,226.06,240,17/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,90",7210,34,629,212.06,230,17/11/14
18.50KG CARTON,"STARKING,CL 1,80",6240,34,629,183.53,220,17/11/14
18.50KG CARTON,"STARKING,CL 1,100",6700,35,647.5,191.43,200,17/11/14
18.50KG CARTON,"GOLDEN DELICIOUS,CL 1,120",71610,398,7363,179.92,190,17/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,80",410,4,74,102.5,200,17/11/14
18.50KG CARTON,"GRANNY SMITH,CL 1,90",820,4,74,205,230,17/11/14
